# Export File Created with QBlade CE v2.0.9_beta windows on 11.06.2026 at 23:11:21
New Blade Simulation (2);[TSR_0.000]
Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-]
1.0000000e+00;1.5924133e-02;1.0000000e+00;1.5924133e-02
2.0000000e+00;7.1659811e-02;END;END
3.0000000e+00;2.2817725e-01;END;END
4.0000000e+00;3.7732932e-01;END;END
5.0000000e+00;4.4608060e-01;END;END
6.0000000e+00;4.6228740e-01;END;END
7.0000000e+00;4.5360610e-01;END;END
8.0000000e+00;4.3072653e-01;END;END
9.0000000e+00;3.9558318e-01;END;END
1.0000000e+01;3.4849152e-01;END;END
1.1000000e+01;2.8377861e-01;END;END
1.2000000e+01;2.0457356e-01;END;END
