# Export File Created with QBlade CE v2.0.9_beta windows on 11.06.2026 at 23:11:35
New Blade Simulation (2);[TSR_0.000]
Tip Speed Ratio [-];Thrust Coefficient Ct [-];Tip Speed Ratio [-];Thrust Coefficient Ct [-]
1.0000000e+00;1.2719509e-01;1.0000000e+00;1.2719509e-01
2.0000000e+00;1.9175749e-01;END;END
3.0000000e+00;3.6493918e-01;END;END
4.0000000e+00;5.7112151e-01;END;END
5.0000000e+00;7.3037672e-01;END;END
6.0000000e+00;8.3527005e-01;END;END
7.0000000e+00;9.1204971e-01;END;END
8.0000000e+00;9.7772115e-01;END;END
9.0000000e+00;1.0373271e+00;END;END
1.0000000e+01;1.0927039e+00;END;END
1.1000000e+01;1.1433336e+00;END;END
1.2000000e+01;1.1909624e+00;END;END
